comment,sentiment,confidence
"►  Grab your free DevOps Roadmap: https://bit.ly/3RUQ7UK

💙    Become a Kubernetes Administrator - CKA:     https://bit.ly/3MQtij9
💚    Become a DevOps Engineer - full educational program:  https://bit.ly/3MRjKEE

🔗 Useful Links: 
►  Main Kubectl Commands - K8s CLI   Git repo: https://bit.ly/3oZzuHY
►  K8s YAML Configuration File              Git repo: https://bit.ly/2JBVyIk
►  Demo project                                         Git repo: https://bit.ly/3jY6lJp
►  Kubernetes Ingress                              Git Repo: https://bit.ly/3mJHVFc
►  Kubernetes Volumes                            Git Repo: https://bit.ly/2Gv3eLi

▬▬▬▬▬▬ Connect with me 👋   ▬▬▬▬▬▬ 
INSTAGRAM                                         ►  https://bit.ly/2F3LXYJ
TWITTER                                               ►  https://bit.ly/3i54PUB
LINKEDIN                                              ►  https://bit.ly/3hWOLVT

▬▬▬▬▬▬ Want to learn more? 🚀  ▬▬▬▬▬▬ 
DevOps Tools, like Terraform, Prometheus  ►  https://bit.ly/2W9UEq6
Jenkins Pipeline Tutorials                               ►  https://bit.ly/2Wunx08
Kubernetes on Cloud                                       ► https://www.youtube.com/playlist?list=PLy7NrYWoggjxqLwqmbE-gGuxpo0nWZqCi",Neutral,0.447
thank you this video helped a lot,Positive,0.947
"Very descriptive and informational video.
Quick feedback : try to use different value for targetPort and Port in service file to avoid confusions.",Neutral,0.64
Thanks for this great knowledge ..,Positive,0.975
Is this course available in Udemy/coursera ?,Positive,0.599
The YouTube session on Certified Kubernetes Application Developer highlights essential exam domains clearly. The additional guidance offered by the directcertify website strengthens preparation strategy.,Neutral,0.529
"Just in Case : if your browser loads but refuses to display the kubernetes dashboard page , change the ingress's path from Exact to Prefix.",Neutral,0.614
Love it. So much info.,Positive,0.952
"Juste in case : opening mongodb web interface under Edge lead to a laconic ""Unauthorized"", using Chrome is opening a credential popup allowing to access.",Positive,0.382
Six years later and this is the first also the best introduction to K8S for me. Thanks for your incredible tutorial,Positive,0.79
THank you Nana :),Positive,0.968
"Thanks, it was really engaging and as a stranger to Kubernetes I really enjoyed the journey.",Positive,0.927
Thank You so Much!,Positive,0.98
"Hi Nana, thank you so much for your amazing Kubernetes (K8s) videos. Your explanations are so clear and easy to understand, and they really helped me learn concepts like deployments, services, pods, and more.

I was struggling a lot before, but your content made everything much simpler. 🙏
Thanks again for sharing your knowledge and helping learners like me. Keep up the great work! 🚀😊",Positive,0.966
Thank you so much Nana for your extra ordinary explanation and vides,Positive,0.879
Thanks!,Positive,0.985
Excellent video.   I had to specify values for ME_CONFIG_BASICAUTH_USERNAME and ME_CONFIG_BASICAUTH_PASSWORD  to make mongo-express work in case anyone else has same issue.,Positive,0.562
"1. Course Introduction
0:00:00 – 0:02:14 — Course Overview & Learning Objectives

2. Kubernetes Fundamentals
0:02:22 – 0:05:13 — What Is Kubernetes & Problems It Solves
0:05:23 – 0:07:33 — Nodes, Pods & Container Abstraction
0:07:39 – 0:10:35 — Networking Basics: Services & Ingress
0:10:46 – 0:14:22 — ConfigMaps & Secrets
0:14:27 – 0:16:21 — Data Persistence with Volumes
0:16:28 – 0:18:44 — Replicas, Deployments & High Availability
0:18:52 – 0:22:23 — StatefulSets & Core Concepts Recap

3. Kubernetes Architecture
0:22:33 – 0:26:25 — Worker Node Internals
0:26:30 – 0:30:04 — Control Plane Components
0:30:04 – 0:33:09 — etcd, Cluster State & HA
0:33:15 – 0:34:43 — Scaling Masters & Workers

4. Local Kubernetes Setup
0:34:49 – 0:36:44 — Minikube Overview
0:36:49 – 0:38:47 — kubectl Overview
0:38:53 – 0:44:32 — Installation & Cluster Verification

5. kubectl Core Operations
0:44:57 – 0:49:51 — Pods, Deployments & ReplicaSets
0:49:51 – 0:52:03 — Editing Deployments & Rolling Updates
0:52:03 – 0:55:09 — Logs, Describe, Exec & Debugging
0:55:09 – 1:01:56 — Deleting Resources & kubectl Summary

6. YAML & Desired State Model
1:02:07 – 1:07:15 — YAML Structure, Syntax & Best Practices
1:07:15 – 1:14:33 — Labels, Selectors, Services & Status Inspection
1:14:33 – 1:16:13 — Resource Lifecycle with apply/delete

7. End-to-End Demo: MongoDB + Express
1:16:18 – 1:22:40 — Architecture, Secrets & MongoDB Deployment
1:22:40 – 1:32:43 — Services, Environment Config & Validation
1:33:24 – 1:40:15 — Express App, ConfigMaps & Logs
1:40:20 – 1:46:10 — External Access & Request Flow

8. Namespaces & Multi-Tenancy
1:46:10 – 1:52:06 — Namespaces, Use Cases & Isolation
1:52:06 – 2:01:45 — Quotas, Access Control & kubens

9. Ingress & Traffic Management
2:01:45 – 2:07:21 — Ingress Concepts & Architecture
2:07:21 – 2:15:50 — Ingress Controller Setup & Rules
2:15:50 – 2:24:10 — Routing, TLS & Advanced Patterns

10. Helm Package Management
2:24:21 – 2:37:25 — Helm Basics, Charts, Values & Helm 3

11. Storage & Persistence
2:38:10 – 2:55:44 — PVs, PVCs, StorageClasses & Provisioning

12. Stateful vs Stateless Workloads
2:58:41 – 3:13:18 — StatefulSets Internals & Database Scaling

13. Kubernetes Services Deep Dive
3:13:45 – 3:36:26 — ClusterIP, Headless, NodePort & LoadBalancer

14. Course Wrap-Up
3:36:26 – 3:36:54 — Final Summary & Next Steps",Neutral,0.626
"For people loosing their minds at 1:44:59 as to why it refuses to work, mongo-express changed how you pass the server URL now (without updating the docker hub page docs for at least 2 years now!!!), so it's unable to find your mongodb instance. The new way basically makes it impossible to use the secret and configmap variables to dynamically define the URL, at least to my knowledge.

What you need to do is add a new environmental variable:
          - name: ME_CONFIG_MONGODB_URL
            value: ""mongodb://<<the username you used (plaintext, not base64)>>:<<the password you used>>@<<mongodb service name>>:<<port>>""

If you followed the guide, this would be:
            value: ""mongodb://username:password@mongodb-service:27017""


From what I see, ME_CONFIG_MONGODB_ADMINPASSWORD, ME_CONFIG_MONGODB_ADMINUSERNAME, and ME_CONFIG_MONGODB_SERVER don't do anything anymore. I'm not sure if there is a way to still use kubernetes secrets or configmaps to do this anymore, since you can't combine them together in the same line.",Neutral,0.465
2:58:40,Neutral,0.435
About to watch it but from the comments alone I'm gonna subscribe and like,Neutral,0.522
"Wonderful learning video! Thank you very much!
Thou - i had a problem with login into the mongo-express. Just if someone has the same problem: default credential are:
Login - admin
Password: pass",Positive,0.627
thanks you,Positive,0.934
"Mind Blowing Teaching skills. Do we have similar tutor for data engineering stuff - dbt, dbx, pyspark",Positive,0.511
1:33:32,Neutral,0.461
"Nana, your content and tutorials are awesome I learned a lot and lot to cover yet.  Please keep good work, Thanks !!",Positive,0.944
"Despite being uploaded five years ago, this content remains highly relevant. Thank you for taking the time to create and share this video.",Positive,0.801
"Thank you so much, completed and did labs (even though took 2 days) which really helped me to understand and start exploring the other parts.",Positive,0.829
"I am stuck at 1 hour 40 mins, as mongo-express in not connecting to MongoDB, tried several ways but getting /dev/tcp/mongo/27017: Invalid argument errors",Positive,0.428
Thank you so much!,Positive,0.98
"Thanking from the bottom of my heart, explored a lot of courses and came here by ChatGPT's suggestion. This course is really amazing.",Positive,0.815
Thanks!,Positive,0.985
nice video! why i cant increase speed?,Positive,0.809
"You are honestly the most incredible content creator when it comes ot devops. 
I've tried many times to get into k8s, but other courses failed me
Now, for the first time, I feel like I'm actually getting it

Amazing work!",Positive,0.804
Does she have Udemy courses?,Positive,0.503
You are awesome,Positive,0.926
maybe i need a begginers lesson for begginers,Neutral,0.602
Thank you for this content! Amazing!,Positive,0.984
"At first, I liked her video, and then I started watching more.",Positive,0.721
"Valuable lessons taught free of cost and with such ease, but I personally feel that practical demos were not enough. This complete 3:36 hrs tutorial could be 100x more valuable, had there been proper demos at each point.",Positive,0.503
Made me see things in a whole new light  really powerful message.,Positive,0.77
I got felt in love Of you.. ❤❤,Positive,0.911
I am watching you for 2 weeks now and I can definitely say you're one of the best devops teachers in youtube,Positive,0.777
Progress 02:11:24,Neutral,0.558
the best and most solid explanation tuttorial i've ever seen in internet so far,Positive,0.872
Great content ❤,Positive,0.986
Such a clear and helpful explanation  thanks for the walkthrough!,Positive,0.895
Thanks!,Positive,0.985
"Your teaching way is so amazing Mam
 🫡🫡",Positive,0.896
"Thanks Nana,

Watched full video, learned a lot.",Positive,0.921
"01:09:24 - 2 questions; what if we kept the selector in the Service on the right as ""app:nginx"", BUT:

1. we changed ONLY the Deployment metadata to actually be ""app:nginx1?
OR
2. we changed ONLY the Pod metadata to actually be ""app:nginx1""?",Neutral,0.658
Does any prerequisites needed for this please reply ?,Positive,0.505
"If you’re getting a pop up for credentials at 1:44:58, mongo-express now has the default credentials as “admin” and “pass”, and you’ll get to the dashboard screen that Nana reached. Found this in the logs of the mongo-express pod. Just thought I’d let anyone know in case they’re facing the same issue",Neutral,0.471
thank u so much ❤❤,Positive,0.995
Is this still applicable as of today November 2025?,Positive,0.613
Much appreciated. Keep up the good work!,Positive,0.909
"Thank you, Nana — your tutorials are the clearest I’ve seen on any platform!",Positive,0.813
thank you!,Positive,0.968
thank you!,Positive,0.968
amazing!!,Positive,0.992
Very nice tutorial,Positive,0.9
I love this girl!!!,Positive,0.917
Best tutorial. Thank you!,Positive,0.984
"Hi Nana, you did a great job on the preparation for this video, and it really helped a lot with preparation and understanding in-depth of kubernetes, If you had added these things, it might give a little bit more extra knowledge 

1) If you show how users can be restricted between the namespaces
2) While showing the ingress example, you shown Kubernetes-dashboard. Actually Kubernetes-dashboard  is not available in Minikube, even in your video, when you shown the default namespace it has only 4. Seems in your video Kubernetes-dashboard was running 17 days compared to other namespace.",Positive,0.674
Awesome. Top notch. Thanks!,Positive,0.966
Best Kubernetes tutorial to this date. Thank you so much Nana.,Positive,0.97
Wonderful video! thank you.,Positive,0.973
